rank,school_district_geoid,school_district_name,school_district_type,county,beds_code,ida_names,num_projects,unique_beneficiaries,total_school_exemption,total_school_pilot_due,total_school_pilot_made,total_school_revenue_lost,annual_school_revenue_lost,pilot_shortfall,total_levy,enrollment,per_pupil_spending,total_budget,true_value_rate,exemption_pct_of_levy,per_pupil_impact,annual_per_pupil_impact,pct_per_pupil_spending,num_donor_beneficiaries,total_donated_from_district,donor_rate,top_beneficiary,top_beneficiary_loss,top_beneficiary_donated,earliest_project,latest_project,st3_matched,flag_high_impact,flag_high_per_pupil,flag_donor_connected,headline
11,3604740,Bethpage Union Free School District,unified,059,280521,Nassau County Industrial Development Agency,65,12,60262787.32,28184260.27,28125488.38,32194326.06,32194326.06,186735.51,68583618.0,2969.0,31914.9,94755332.0,0.0,46.9417,10843.49,10843.49,33.9763,8,311785.76,66.67,NASSAU STEEL,15707126.42,163350.0,02/13/2015,12/22/2010,Yes,Yes,Yes,Yes,"Bethpage Union Free School District lost $32,194,326 in school property taxes because 65 IDA project(s) received exemptions. The largest beneficiary accounts for $15,707,126. That company donated $163,350 to political campaigns while receiving the exemption."
12,3605280,Brentwood Union Free School District,unified,103,580512,Islip Industrial Development Agency|Suffolk County Industrial Development Agency,276,47,75120167.77,43392117.45,43392117.45,31753968.91,31753968.91,0.0,111568807.0,18500.0,27209.41,503374071.0,0.0,28.4613,1716.43,1716.43,6.3082,9,69298.91,19.15,22 50 JACKSON AVE ASSOCIATES,12365337.65,1000.0,01/13/2015,12/18/2018,Yes,Yes,Yes,Yes,"Brentwood Union Free School District lost $31,753,969 in school property taxes because 276 IDA project(s) received exemptions. The largest beneficiary accounts for $12,365,338. That company donated $1,000 to political campaigns while receiving the exemption."
13,3624780,Rockville Centre Union Free School District,unified,059,280221,Hempstead Industrial Development Agency|Nassau County Industrial Development Agency,25,3,36646801.36,6636706.16,6642924.39,30003876.97,30003876.97,102.52,101850000.0,3542.0,36434.36,129050491.0,0.0,29.4589,8470.89,8470.89,23.2497,3,14708.0,100.0,AVALON BAY COMMUNITIES,25734297.0,9933.0,01/29/2015,11/16/2022,Yes,Yes,Yes,Yes,"Rockville Centre Union Free School District lost $30,003,877 in school property taxes because 25 IDA project(s) received exemptions. The largest beneficiary accounts for $25,734,297. That company donated $9,933 to political campaigns while receiving the exemption."
14,3606870,Central Islip Union Free School District,unified,103,580502,Islip Industrial Development Agency|Suffolk County Industrial Development Agency,175,32,61325877.26,31884538.46,31884538.46,29441338.8,29441338.8,0.0,64352633.0,2690.0,33992.27,91439213.0,0.0,45.75,10944.74,10944.74,32.1977,10,27817.32,31.25,SYSCO FOODS,6101448.51,367.32,01/12/2021,12/17/2024,Yes,Yes,Yes,Yes,"Central Islip Union Free School District lost $29,441,339 in school property taxes because 175 IDA project(s) received exemptions. The largest beneficiary accounts for $6,101,449. That company donated $367 to political campaigns while receiving the exemption."
15,3609420,Dunkirk City School District,unified,013,060800,Chautauqua Industrial Development Agency|Dunkirk Industrial Development Agency,64,12,26740423.84,1939970.58,1939970.58,24800453.26,24800453.26,0.0,10368278.0,1953.0,26828.48,52396017.0,0.0,239.1955,12698.64,12698.64,47.3327,4,53515.0,33.33,NRG ENERGY,23080464.72,46950.0,01/24/2020,12/12/2009,Yes,Yes,Yes,Yes,"Dunkirk City School District lost $24,800,453 in school property taxes because 64 IDA project(s) received exemptions. The largest beneficiary accounts for $23,080,465. That company donated $46,950 to political campaigns while receiving the exemption."
16,3613980,Hauppauge Union Free School District,unified,103,580506,Islip Industrial Development Agency|Suffolk County Industrial Development Agency,565,84,88430832.12,64025358.52,64025358.52,24550893.61,24550893.61,0.0,91180127.0,3113.0,39805.3,123913904.0,0.0,26.9257,7886.57,7886.57,19.8129,19,109326.5,22.62,ALLSTATE HAUPPAUGE OFFICE PARK ASSOCIATES,3326730.83,0.0,01/15/2019,12/19/2017,Yes,Yes,Yes,Yes,"Hauppauge Union Free School District lost $24,550,894 in school property taxes because 565 IDA project(s) received exemptions. The largest beneficiary accounts for $3,326,731."
17,3622050,Oswego City School District,unified,075,461300,Oswego County Industrial Development Agency,218,39,126497227.0,102986146.0,102883315.0,23643832.0,23643832.0,102831.0,26643448.0,3640.0,26692.58,97160976.0,0.0,88.7416,6495.56,6495.56,24.3347,12,71894.5,30.77,NINE MILE POINT NUCLEAR STATION,18439959.0,21810.0,01/14/2015,12/14/2016,Yes,Yes,Yes,Yes,"Oswego City School District lost $23,643,832 in school property taxes because 218 IDA project(s) received exemptions. The largest beneficiary accounts for $18,439,959. That company donated $21,810 to political campaigns while receiving the exemption."
18,3613290,Half Hollow Hills Central School District,unified,103,580405,Babylon Industrial Development Agency|Brookhaven Industrial Development Agency|Glen Cove Industrial Development Agency|Suffolk County Industrial Development Agency,449,68,54460175.89,31165706.56,30990649.7,23469526.19,23469526.19,175056.86,221314421.0,7203.0,38896.18,280169185.0,0.0,10.6046,3258.3,3258.3,8.3769,24,413897.75,35.29,GLEN COVE II DEVELOPEMENT,4353877.22,0.0,01/22/2020,12/28/2009,Yes,Yes,Yes,Yes,"Half Hollow Hills Central School District lost $23,469,526 in school property taxes because 449 IDA project(s) received exemptions. The largest beneficiary accounts for $4,353,877."
19,3608880,Deer Park Union Free School District,unified,103,580107,Babylon Industrial Development Agency|Suffolk County Industrial Development Agency,250,42,67601693.7,45834656.79,45669637.33,21932056.37,21932056.37,165019.46,76788064.0,3939.0,32383.91,127560238.0,0.0,28.5618,5567.92,5567.92,17.1935,15,72346.63,35.71,DEER PARK ENTERPRISES,10338659.17,11600.0,01/13/2004,12/16/2020,Yes,Yes,Yes,Yes,"Deer Park Union Free School District lost $21,932,056 in school property taxes because 250 IDA project(s) received exemptions. The largest beneficiary accounts for $10,338,659. That company donated $11,600 to political campaigns while receiving the exemption."
20,3629940,Warsaw Central School District,unified,121,671501,Monroe Industrial Development Agency|Wyoming County Industrial Development Agency,41,8,22827365.21,954907.7,954907.7,21873122.8,21873122.8,0.0,7384204.0,850.0,26756.47,22743000.0,0.0,296.215,25733.09,25733.09,96.1752,2,86783.75,25.0,STONY CREEK ENERGY,21256638.07,0.0,03/11/2021,10/25/2012,Yes,Yes,Yes,Yes,"Warsaw Central School District lost $21,873,123 in school property taxes because 41 IDA project(s) received exemptions. The largest beneficiary accounts for $21,256,638."
21,3614340,Hicksville Union Free School District,unified,059,280517,Nassau County Industrial Development Agency,112,17,56380527.02,34667470.2,34704281.01,21826541.52,21826541.52,12141.59,110083600.0,5368.0,28537.21,153187749.0,0.0,19.8272,4066.05,4066.05,14.2482,5,27000.0,29.41,LONG ISLAND INDUSTRIAL MANAGAMENT,12285808.58,0.0,02/28/2019,12/19/2017,Yes,Yes,Yes,Yes,"Hicksville Union Free School District lost $21,826,542 in school property taxes because 112 IDA project(s) received exemptions. The largest beneficiary accounts for $12,285,809."
22,3617130,Letchworth Central School District,unified,121,670401,Wyoming County Industrial Development Agency,37,7,23706278.61,2002854.58,2002854.58,21703424.03,21703424.03,0.0,4670098.0,856.0,26266.29,22483944.0,0.0,464.7317,25354.47,25354.47,96.5285,1,800.0,14.29,NOBLE WETHERSFIELD WINDPARK,11306417.51,0.0,02/12/2015,12/12/2007,Yes,Yes,Yes,No,"Letchworth Central School District lost $21,703,424 in school property taxes because 37 IDA project(s) received exemptions. The largest beneficiary accounts for $11,306,418."
23,3603420,Attica Central School District,unified,121,670201,Genesee County Industrial Development Agency|Wyoming County Industrial Development Agency,23,5,20353303.09,1027690.98,1027833.3,19325469.79,19325469.79,0.0,10760476.0,1150.0,27906.63,32092623.0,0.0,179.5968,16804.76,16804.76,60.2178,2,1472.0,40.0,SHELDON ENEGRY,19251279.69,0.0,03/11/2010,11/14/2007,Yes,Yes,Yes,No,"Attica Central School District lost $19,325,470 in school property taxes because 23 IDA project(s) received exemptions. The largest beneficiary accounts for $19,251,280."
24,3623580,Port Washington Union Free School District,unified,059,280404,Nassau County Industrial Development Agency,122,19,40694671.41,22478934.79,22496862.16,18427199.93,18427199.93,0.02,150562063.0,5287.0,33068.83,174834928.0,0.0,12.2389,3485.38,3485.38,10.5398,3,50900.0,15.79,AMSTERDAM,12748328.1,0.0,01/31/2013,12/19/2012,Yes,Yes,Yes,Yes,"Port Washington Union Free School District lost $18,427,200 in school property taxes because 122 IDA project(s) received exemptions. The largest beneficiary accounts for $12,748,328."
25,3615570,Ithaca City School District,unified,109,610600,Tompkins County Industrial Development Agency,228,44,27769304.04,9697953.05,9585239.37,18298044.04,18298044.04,112715.68,102416874.0,5535.0,26909.5,148944098.0,0.0,17.8662,3305.88,3305.88,12.2852,7,121753.0,15.91,COLLEGE CIRCLE ASSOCIATES,3290636.64,0.0,01/09/2018,12/18/2013,Yes,Yes,Yes,Yes,"Ithaca City School District lost $18,298,044 in school property taxes because 228 IDA project(s) received exemptions. The largest beneficiary accounts for $3,290,637."
26,3618570,Marlboro Central School District,unified,111,621001,Orange County Industrial Development Agency|Ulster County Industrial Development Agency,21,3,28259837.22,10771889.58,10771889.58,17487947.64,17487947.64,0.0,33116599.0,2030.0,30294.58,61498000.0,0.0,52.8072,8614.75,8614.75,28.4366,3,22777.77,100.0,DANSKAMMER ENERGY,17156331.2,7500.0,05/09/2018,10/30/2019,Yes,Yes,Yes,Yes,"Marlboro Central School District lost $17,487,948 in school property taxes because 21 IDA project(s) received exemptions. The largest beneficiary accounts for $17,156,331. That company donated $7,500 to political campaigns while receiving the exemption."
27,3609840,East Meadow Union Free School District,unified,059,280203,Hempstead Industrial Development Agency|Nassau County Industrial Development Agency,27,6,33492818.81,16102230.7,16102285.87,17390532.94,17390532.94,0.01,147285281.0,7426.0,30792.24,228663163.0,0.0,11.8074,2341.84,2341.84,7.6053,2,21450.0,33.33,MICHAEL BERFIELD VP DEVELOPMENT,14219582.0,0.0,01/11/2013,12/16/2020,Yes,Yes,Yes,Yes,"East Meadow Union Free School District lost $17,390,533 in school property taxes because 27 IDA project(s) received exemptions. The largest beneficiary accounts for $14,219,582."
28,3622560,Pearl River Union Free School District,unified,087,500308,Broome Industrial Development Agency|Chemung Industrial Development Agency|Rockland County Industrial Development Agency|Sullivan County Industrial Development Agency,76,16,34463366.36,17697876.08,17697876.08,16765490.28,16765490.28,0.0,60602084.0,2300.0,33699.7,77509312.0,0.0,27.6649,7289.34,7289.34,21.6303,8,377546.53,50.0,MILLENIUM PIPELINE COMPANY,7395734.9,5650.0,02/28/2019,12/19/2006,Yes,Yes,Yes,Yes,"Pearl River Union Free School District lost $16,765,490 in school property taxes because 76 IDA project(s) received exemptions. The largest beneficiary accounts for $7,395,735. That company donated $5,650 to political campaigns while receiving the exemption."
29,3603960,Barker Central School District,unified,063,401301,Niagara County Industrial Development Agency,4,1,19084671.0,5996100.0,2441100.0,16643571.0,16643571.0,3555000.0,5035096.0,650.0,27411.59,17817534.0,0.0,330.5512,25605.49,25605.49,93.4112,1,655.0,100.0,KEVIN PIERCE,16643571.0,655.0,09/01/2007,09/01/2007,Yes,Yes,Yes,No,"Barker Central School District lost $16,643,571 in school property taxes because 4 IDA project(s) received exemptions. The largest beneficiary accounts for $16,643,571. That company donated $655 to political campaigns while receiving the exemption."
30,3624900,Rome City School District,unified,065,411800,Oneida County Industrial Development Agency,228,34,26665942.66,10501060.93,10388877.94,16277064.72,16277064.72,112182.99,36543239.0,5408.0,24091.17,130285026.0,0.0,44.5419,3009.81,3009.81,12.4934,4,62663.0,11.76,FAMILY DOLLAR SERVICES,7523256.09,0.0,02/12/2020,11/20/2008,Yes,Yes,Yes,Yes,"Rome City School District lost $16,277,065 in school property taxes because 228 IDA project(s) received exemptions. The largest beneficiary accounts for $7,523,256."
31,3628590,Syracuse City School District,unified,067,,Auburn Industrial Development Agency|Cortland Industrial Development Agency|Madison County Industrial Development Agency|Oneida County Industrial Development Agency|Onondaga County Industrial Development Agency|Syracuse Industrial Development Agency,486,87,16667967.17,1380895.19,1370615.65,15362053.34,15362053.34,10279.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,154489.0,22.99,TOWERS REALTY LR,2118464.3,0.0,01/01/2009,12/23/2002,No,No,No,Yes,"Syracuse City School District lost $15,362,053 in school property taxes because 486 IDA project(s) received exemptions. The largest beneficiary accounts for $2,118,464."
32,3616290,Kingston City School District,unified,111,620600,Ulster County Industrial Development Agency,83,14,23995670.73,9034018.61,8939657.93,15158371.96,15158371.96,94360.68,110619512.0,6373.0,31872.51,203123508.0,0.0,13.7032,2378.53,2378.53,7.4626,10,310952.56,71.43,JOSEPH T KIRCHHOFF,8987527.99,250.0,02/14/2018,12/14/2016,Yes,Yes,Yes,Yes,"Kingston City School District lost $15,158,372 in school property taxes because 83 IDA project(s) received exemptions. The largest beneficiary accounts for $8,987,528. That company donated $250 to political campaigns while receiving the exemption."
33,3617520,Liverpool Central School District,unified,067,421501,Onondaga County Industrial Development Agency,56,12,20407377.41,5677915.0,5677915.0,14916445.99,14916445.99,0.0,92454745.0,6878.0,25218.26,173451163.0,0.0,16.1338,2168.72,2168.72,8.5998,4,25602.4,33.33,CF ANACONDA SYR FORMERLY TC SYRACUSE DEVELOPMENT ASSOCIATES,14099455.94,0.0,02/08/2022,12/08/2020,Yes,Yes,Yes,Yes,"Liverpool Central School District lost $14,916,446 in school property taxes because 56 IDA project(s) received exemptions. The largest beneficiary accounts for $14,099,456."
34,3631470,Williamsville Central School District,unified,029,140203,Amherst Industrial Development Agency|Chemung Industrial Development Agency|Clarence Industrial Development Agency|Erie County Industrial Development Agency|Ontario County Industrial Development Agency|Schuyler County Industrial Development Agency|Yates County Industrial Development Agency,268,56,39529233.47,24698573.82,24698578.82,14832164.65,14832164.65,0.0,137200000.0,9494.0,22385.52,212528086.0,0.0,10.8106,1562.27,1562.27,6.9789,15,205098.51,26.79,EMPIRE STATE PIPELINE EMPIRE PIPELINE,5943702.75,1000.0,01/01/1994,12/07/2010,Yes,Yes,Yes,Yes,"Williamsville Central School District lost $14,832,165 in school property taxes because 268 IDA project(s) received exemptions. The largest beneficiary accounts for $5,943,703. That company donated $1,000 to political campaigns while receiving the exemption."
35,3610980,Farmingdale Union Free School District,unified,059,280522,Babylon Industrial Development Agency|Nassau County Industrial Development Agency,234,37,27355924.58,13903980.4,12686393.15,14736407.34,14736407.34,1227639.87,133739443.0,5155.0,35478.63,182892350.0,0.0,11.0187,2858.66,2858.66,8.0574,10,98581.49,27.03,TDI JEFFERSON STATION,6015416.62,0.0,01/07/2010,12/13/2005,Yes,Yes,Yes,Yes,"Farmingdale Union Free School District lost $14,736,407 in school property taxes because 234 IDA project(s) received exemptions. The largest beneficiary accounts for $6,015,417."
36,3620100,Mount Vernon School District,unified,119,,Mount Vernon Industrial Development Agency|Westchester County Industrial Development Agency,146,24,21596496.27,7728252.13,7563947.38,14159806.78,14159806.78,193759.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,166798.9,37.5,LEVISTER REDEVELOPMENY COMPANY,4469339.0,0.0,01/25/2024,12/19/2014,No,No,No,Yes,"Mount Vernon School District lost $14,159,807 in school property taxes because 146 IDA project(s) received exemptions. The largest beneficiary accounts for $4,469,339."
37,3628950,Troy City School District,unified,083,491700,Rensselaer County Industrial Development Agency|Troy Industrial Development Authority,334,58,20786015.61,6884271.31,6874681.42,14022566.94,14022566.94,9589.89,37941094.0,4400.0,28841.65,126903276.0,0.0,36.9588,3186.95,3186.95,11.0498,14,134002.5,24.14,FIVE ONE FIVE RIVER ST,1182847.69,0.0,01/01/1996,12/21/2018,Yes,Yes,Yes,Yes,"Troy City School District lost $14,022,567 in school property taxes because 334 IDA project(s) received exemptions. The largest beneficiary accounts for $1,182,848."
38,3606500,Spackenkill Union Free School District,unified,027,131602,Dutchess County Industrial Development Agency,10,2,48846814.12,34855201.85,34855201.85,13991612.27,13991612.27,0.0,32002692.0,1510.0,33384.86,50411139.0,0.0,43.7201,9265.97,9265.97,27.755,1,6500.0,50.0,INTERNATIONAL BUSINESS MACHINES,13991612.27,0.0,03/14/2013,05/19/2011,Yes,Yes,Yes,No,"Spackenkill Union Free School District lost $13,991,612 in school property taxes because 10 IDA project(s) received exemptions. The largest beneficiary accounts for $13,991,612."
39,3620820,Niagara Falls City School District,unified,063,400800,Niagara County Industrial Development Agency|Niagara Town Industrial Development Agency,215,36,27086874.0,14466896.0,14441618.0,12663676.0,12663676.0,61544.0,25828989.0,7011.0,23519.58,164895787.0,0.0,49.0289,1806.26,1806.26,7.6798,21,460821.15,58.33,KEVIN O NEILL,4279326.0,49361.47,01/08/2020,12/22/2009,Yes,Yes,Yes,Yes,"Niagara Falls City School District lost $12,663,676 in school property taxes because 215 IDA project(s) received exemptions. The largest beneficiary accounts for $4,279,326. That company donated $49,361 to political campaigns while receiving the exemption."
40,3600014,Waterloo Central School District,unified,099,561006,Seneca County Industrial Development Agency|Yates County Industrial Development Agency,83,15,20492200.14,8054624.53,8054624.53,12458652.96,12458652.96,0.0,12808791.0,1477.0,30999.33,45786016.0,0.0,97.2664,8435.11,8435.11,27.2106,6,249880.0,40.0,LAGO RESORT CASINO,9639296.04,136960.0,01/01/2006,12/17/2009,Yes,Yes,Yes,Yes,"Waterloo Central School District lost $12,458,653 in school property taxes because 83 IDA project(s) received exemptions. The largest beneficiary accounts for $9,639,296. That company donated $136,960 to political campaigns while receiving the exemption."
41,3625170,Rush-Henrietta Central School District,unified,055,261701,Monroe Industrial Development Agency,449,101,29046609.08,17368308.36,17368299.36,12264787.99,12264787.99,9.0,87123380.0,5389.0,28136.2,151625968.0,0.0,14.0775,2275.89,2275.89,8.0888,16,178098.0,15.84,HARRISON STREET RE,2565570.0,0.0,01/15/2019,12/21/1999,Yes,Yes,Yes,Yes,"Rush-Henrietta Central School District lost $12,264,788 in school property taxes because 449 IDA project(s) received exemptions. The largest beneficiary accounts for $2,565,570."
42,3612510,Great Neck Union Free School District,unified,059,280407,Nassau County Industrial Development Agency,69,15,25971237.53,14425426.12,14266532.56,12117049.27,12117049.27,167862.45,222658679.0,6612.0,39539.12,261432690.0,0.0,5.442,1832.58,1832.58,4.6349,6,248619.15,40.0,AVALON GREAT NECK,6069780.74,0.0,02/05/2013,12/19/2017,Yes,Yes,Yes,Yes,"Great Neck Union Free School District lost $12,117,049 in school property taxes because 69 IDA project(s) received exemptions. The largest beneficiary accounts for $6,069,781."
43,3612330,Goshen Central School District,unified,071,440601,Orange County Industrial Development Agency|Sullivan County Industrial Development Agency|Wallkill Industrial Development Agency,57,10,15062752.86,4220657.36,4220657.36,10907179.88,10907179.88,0.0,54040000.0,2851.0,29358.12,83700000.0,0.0,20.1835,3825.74,3825.74,13.0313,0,0.0,0.0,MERLIN ENTERTAINMENT GROUPS US HOLDINGS,9597364.84,0.0,01/01/1994,12/01/2019,Yes,Yes,Yes,No,"Goshen Central School District lost $10,907,180 in school property taxes because 57 IDA project(s) received exemptions. The largest beneficiary accounts for $9,597,365."
